	N60-35-57 	No description 	N60-35-57 	2018-09-04 12:04:16 	2018-09-04 13:35:00 	2018-09-04 13:40:00 	2018-09-04 13:54:01 	2018-09-04 13:59:01 	Finished 	Download Result
	60-35-57 	No description 	60-35-57 	2018-09-04 12:04:09 	2018-09-04 13:30:00 	2018-09-04 13:35:00 	2018-09-04 13:48:01 	2018-09-04 13:53:01 	Finished 	Download Result
	N60-35-57 	No description 	N60-35-57 	2018-09-04 12:03:58 	2018-09-04 13:25:00 	2018-09-04 13:30:00 	2018-09-04 13:42:01 	2018-09-04 13:47:01 	Finished 	Download Result
	60-35-57 	No description 	60-35-57 	2018-09-04 12:03:24 	2018-09-04 13:20:00 	2018-09-04 13:25:00 	2018-09-04 13:36:01 	2018-09-04 13:41:01 	Finished 	Download Result
	N60-28-42 	No description 	N60-28-42 	2018-09-04 12:02:44 	2018-09-04 13:15:00 	2018-09-04 13:20:00 	2018-09-04 13:30:01 	2018-09-04 13:35:01 	Finished 	Download Result
	60-28-42 	No description 	60-28-42 	2018-09-04 12:02:38 	2018-09-04 13:10:00 	2018-09-04 13:15:00 	2018-09-04 13:24:01 	2018-09-04 13:29:01 	Finished 	Download Result
	N60-28-42 	No description 	N60-28-42 	2018-09-04 12:02:27 	2018-09-04 13:05:00 	2018-09-04 13:10:00 	2018-09-04 13:18:01 	2018-09-04 13:23:01 	Finished 	Download Result
	60-28-42 	No description 	60-28-42 	2018-09-04 12:01:52 	2018-09-04 13:00:00 	2018-09-04 13:05:00 	2018-09-04 13:12:01 	2018-09-04 13:17:01 	Finished 	Download Result
	N60-26-13 	No description 	N60-26-13 	2018-09-04 12:00:51 	2018-09-04 12:55:00 	2018-09-04 13:00:00 	2018-09-04 13:06:01 	2018-09-04 13:11:01 	Finished 	Download Result
	60-26-13 	No description 	60-26-13 	2018-09-04 12:00:41 	2018-09-04 12:50:00 	2018-09-04 12:55:00 	2018-09-04 13:00:01 	2018-09-04 13:05:01 	Finished 	Download Result
	N60-26-13 	No description 	N60-26-13 	2018-09-04 12:00:31 	2018-09-04 12:45:00 	2018-09-04 12:50:00 	2018-09-04 12:54:01 	2018-09-04 12:59:01 	Finished 	Download Result
	60-26-13 	No description 	60-26-13 	2018-09-04 11:59:54 	2018-09-04 12:40:00 	2018-09-04 12:45:00 	2018-09-04 12:48:01 	2018-09-04 12:53:01 	Finished 	Download Result
	N60-5-36 	No description 	N60-5-36 	2018-09-04 11:59:16 	2018-09-04 12:35:00 	2018-09-04 12:40:00 	2018-09-04 12:42:01 	2018-09-04 12:47:02 	Finished 	Download Result
	60-5-36 	No description 	60-5-36 	2018-09-04 11:59:09 	2018-09-04 12:30:00 	2018-09-04 12:35:00 	2018-09-04 12:36:01 	2018-09-04 12:41:01 	Finished 	Download Result
	N60-5-36 	No description 	N60-5-36 	2018-09-04 11:58:59 	2018-09-04 12:25:00 	2018-09-04 12:30:00 	2018-09-04 12:30:01 	2018-09-04 12:35:01 	Finished 	Download Result
	60-5-36 	No description 	60-5-36 	2018-09-04 11:58:15 	2018-09-04 12:20:00 	2018-09-04 12:25:00 	2018-09-04 12:24:01 	2018-09-04 12:29:01 	Finished 	Download Result
	N60-3-19 	No description 	N60-3-19 	2018-09-04 11:57:27 	2018-09-04 12:15:00 	2018-09-04 12:20:00 	2018-09-04 12:18:01 	2018-09-04 12:23:01 	Finished 	Download Result
	60-3-19 	No description 	60-3-19 	2018-09-04 11:57:19 	2018-09-04 12:10:00 	2018-09-04 12:15:00 	2018-09-04 12:12:01 	2018-09-04 12:17:01 	Finished 	Download Result
	N60-3-19 	No description 	N60-3-19 	2018-09-04 11:57:09 	2018-09-04 12:05:00 	2018-09-04 12:10:00 	2018-09-04 12:06:01 	2018-09-04 12:11:01 	Finished 	Download Result
	60-3-19 	No description 	60-3-19 	2018-09-04 11:56:35 	2018-09-04 12:00:00 	2018-09-04 12:05:00 	2018-09-04 12:00:01 	2018-09-04 12:05:01 	Finished 	Download Result
	N60-3-13 	No description 	N60-3-13 	2018-09-03 15:23:27 	2018-09-03 15:45:00 	2018-09-03 15:50:00 	2018-09-03 15:48:01 	2018-09-03 15:53:01 	Finished 	Download Result
